timestamp,channel,temperature,calibrated_temp,unit
2025-09-11T15:49:31.140250,1,25.023,25.023,C
2025-09-11T15:49:31.140250,2,25.746,25.746,C
2025-09-11T15:49:31.140250,3,25.675,25.675,C
2025-09-11T15:49:31.140250,4,24.582,24.582,C
2025-09-11T15:49:31.140250,5,24.513,24.513,C
2025-09-11T15:49:31.140250,6,25.712,25.712,C
2025-09-11T15:49:31.140250,7,25.972,25.972,C
2025-09-11T15:49:31.140250,8,25.876,25.876,C
2025-09-11T15:49:36.178604,1,24.401,24.401,C
2025-09-11T15:49:36.178604,2,24.309,24.309,C
2025-09-11T15:49:36.178604,3,24.426,24.426,C
2025-09-11T15:49:36.178604,4,24.471,24.471,C
2025-09-11T15:49:36.178604,5,24.099,24.099,C
2025-09-11T15:49:36.178604,6,25.582,25.582,C
2025-09-11T15:49:36.178604,7,25.475,25.475,C
2025-09-11T15:49:36.178604,8,25.283,25.283,C
2025-09-11T15:49:41.223631,1,24.874,24.874,C
2025-09-11T15:49:41.223631,2,25.336,25.336,C
2025-09-11T15:49:41.223631,3,24.447,24.447,C
2025-09-11T15:49:41.223631,4,25.610,25.610,C
2025-09-11T15:49:41.223631,5,25.957,25.957,C
2025-09-11T15:49:41.223631,6,25.905,25.905,C
2025-09-11T15:49:41.223631,7,24.332,24.332,C
2025-09-11T15:49:41.223631,8,25.769,25.769,C
2025-09-11T15:49:46.261455,1,24.945,24.945,C
2025-09-11T15:49:46.261455,2,24.813,24.813,C
2025-09-11T15:49:46.261455,3,25.831,25.831,C
2025-09-11T15:49:46.261455,4,24.724,24.724,C
2025-09-11T15:49:46.261455,5,24.393,24.393,C
2025-09-11T15:49:46.261455,6,24.670,24.670,C
2025-09-11T15:49:46.261455,7,24.315,24.315,C
2025-09-11T15:49:46.261455,8,24.814,24.814,C
2025-09-11T15:49:51.308908,1,24.494,24.494,C
2025-09-11T15:49:51.308908,2,24.026,24.026,C
2025-09-11T15:49:51.308908,3,25.150,25.150,C
2025-09-11T15:49:51.308908,4,25.695,25.695,C
2025-09-11T15:49:51.308908,5,25.250,25.250,C
2025-09-11T15:49:51.308908,6,24.525,24.525,C
2025-09-11T15:49:51.308908,7,25.508,25.508,C
2025-09-11T15:49:51.308908,8,24.312,24.312,C
2025-09-11T15:49:56.353940,1,24.693,24.693,C
2025-09-11T15:49:56.353940,2,25.911,25.911,C
2025-09-11T15:49:56.353940,3,25.366,25.366,C
2025-09-11T15:49:56.353940,4,25.065,25.065,C
2025-09-11T15:49:56.353940,5,24.527,24.527,C
2025-09-11T15:49:56.353940,6,24.850,24.850,C
2025-09-11T15:49:56.353940,7,24.635,24.635,C
2025-09-11T15:49:56.353940,8,25.760,25.760,C
2025-09-11T15:50:01.560724,1,24.978,24.978,C
2025-09-11T15:50:01.560724,2,25.743,25.743,C
2025-09-11T15:50:01.560724,3,24.636,24.636,C
2025-09-11T15:50:01.560724,4,25.452,25.452,C
2025-09-11T15:50:01.560724,5,24.930,24.930,C
2025-09-11T15:50:01.560724,6,25.051,25.051,C
2025-09-11T15:50:01.560724,7,25.223,25.223,C
2025-09-11T15:50:01.560724,8,25.306,25.306,C
2025-09-11T15:50:06.598198,1,25.260,25.260,C
2025-09-11T15:50:06.598198,2,25.128,25.128,C
2025-09-11T15:50:06.598198,3,25.242,25.242,C
2025-09-11T15:50:06.598198,4,24.375,24.375,C
2025-09-11T15:50:06.598198,5,24.593,24.593,C
2025-09-11T15:50:06.598198,6,24.143,24.143,C
2025-09-11T15:50:06.598198,7,25.229,25.229,C
2025-09-11T15:50:06.598198,8,24.737,24.737,C
2025-09-11T15:50:11.641863,1,24.304,24.304,C
2025-09-11T15:50:11.641863,2,25.192,25.192,C
2025-09-11T15:50:11.641863,3,24.719,24.719,C
2025-09-11T15:50:11.641863,4,24.350,24.350,C
2025-09-11T15:50:11.641863,5,25.578,25.578,C
2025-09-11T15:50:11.641863,6,25.954,25.954,C
2025-09-11T15:50:11.641863,7,25.297,25.297,C
2025-09-11T15:50:11.641863,8,25.614,25.614,C
2025-09-11T15:50:16.682854,1,25.380,25.380,C
2025-09-11T15:50:16.682854,2,24.984,24.984,C
2025-09-11T15:50:16.682854,3,25.880,25.880,C
2025-09-11T15:50:16.682854,4,24.283,24.283,C
2025-09-11T15:50:16.682854,5,24.405,24.405,C
2025-09-11T15:50:16.682854,6,25.579,25.579,C
2025-09-11T15:50:16.682854,7,24.587,24.587,C
2025-09-11T15:50:16.682854,8,24.112,24.112,C
2025-09-11T15:50:21.738417,1,25.798,25.798,C
2025-09-11T15:50:21.738417,2,24.558,24.558,C
2025-09-11T15:50:21.738417,3,25.699,25.699,C
2025-09-11T15:50:21.738417,4,25.701,25.701,C
